ID,시설명,실패사유,작업구분
981,"충청북도 청주시 평안교회 자연장지",검색 안됨,명칭/주소/전화 동기화
982,"(주)광림공원 동산공원묘원(봉안)",유사도 낮음,명칭/주소/전화 동기화
7907211,"전북특별자치도 부안군 부안효요양병원 장례식장",검색 안됨,명칭/주소/전화 동기화
8113106,"경상북도 성주군 가야장례식장",검색 안됨,명칭/주소/전화 동기화
8200114,"대구 군위군 군위삼성병원 장례식장",검색 안됨,명칭/주소/전화 동기화
8207921,"대전 유성구 구암사 봉안당",검색 안됨,명칭/주소/전화 동기화
8359232,"경남 합천군 새하늘 장례식장",검색 안됨,명칭/주소/전화 동기화
8380259,"경상북도 포항시 오천삼성병원장례식장",검색 안됨,명칭/주소/전화 동기화
8487270,"경기 파주시 약수암영탑추모공원",검색 안됨,명칭/주소/전화 동기화
9136576,"인천광역시 미추홀구 (유)성인천장례식장",검색 안됨,명칭/주소/전화 동기화
9284126,"충북 음성군 예은 추모공원",검색 안됨,명칭/주소/전화 동기화
9860393,"경북 의성군 성제요양병원 장례식장",검색 안됨,명칭/주소/전화 동기화
9876328,"대구 달서구 성서효요양병원 장례식장",검색 안됨,명칭/주소/전화 동기화
9983325,"분당제생병원 장례식장",유사도 낮음,명칭/주소/전화 동기화
10649716,"영락원장례식장",유사도 낮음,명칭/주소/전화 동기화
10855320,"충북 청주시 청주시장례식장운영회",검색 안됨,명칭/주소/전화 동기화
10988915,"전라북도 전주시 (유)현대장례식장",검색 안됨,명칭/주소/전화 동기화
12320515,"법화세계추모관",유사도 낮음,명칭/주소/전화 동기화
12401002,"충남 당진시 당진요양병원 신평장례식장",검색 안됨,명칭/주소/전화 동기화
12406207,"부산 사하구 장림중앙장례식장",검색 안됨,명칭/주소/전화 동기화
12631062,"하늘문추모공원",유사도 낮음,명칭/주소/전화 동기화
12658723,"경북 구미시 차의과학대학교부속 구미차병원 장례식장",검색 안됨,명칭/주소/전화 동기화
12692328,"충북 옥천군 금강추모공원",검색 안됨,명칭/주소/전화 동기화
14650752,"전남 진도군 진도한국병원 장례식장",검색 안됨,명칭/주소/전화 동기화
14650773,"강원특별자치도 강릉시 강릉의료원 장례식장1관",검색 안됨,명칭/주소/전화 동기화
14650820,"경기 김포시 하나성심병원 장례식장",검색 안됨,명칭/주소/전화 동기화
14650822,"경기 부천시 PH장례식장",검색 안됨,명칭/주소/전화 동기화
14650865,"강원도 원주시 연세대학교 원주장례식장",검색 안됨,명칭/주소/전화 동기화
14650895,"포항전문장례식장",유사도 낮음,명칭/주소/전화 동기화
14650897,"경북 상주시 대한적십자 상주병원 장례식장",검색 안됨,명칭/주소/전화 동기화
14650935,"충남 청양군 청양군추모공원 공설묘지",검색 안됨,명칭/주소/전화 동기화
14651010,"전남 광양시 광양시립공원묘지 영세장",검색 안됨,명칭/주소/전화 동기화
14676040,"울산 남구 울산중앙병원 장례식장",검색 안됨,명칭/주소/전화 동기화
14871833,"경기 동두천시 서울재활요양병원 장례식장",검색 안됨,명칭/주소/전화 동기화
16026415,"광주 북구 대원장례식장",검색 안됨,명칭/주소/전화 동기화
16095749,"서울 구로구 기독교봉안당장례",검색 안됨,명칭/주소/전화 동기화
17091691,"부산광역시 영도구 주식회사구민장례식장",검색 안됨,명칭/주소/전화 동기화
17250603,"전라남도 장흥군 관산정남진장례식장",검색 안됨,명칭/주소/전화 동기화
17301433,"전라북도 익산시 (유)동이리장례식장",검색 안됨,명칭/주소/전화 동기화
17314753,"서울 강남구 청담동성당 장례식장",검색 안됨,명칭/주소/전화 동기화
17525431,"천안의료원장례식장",유사도 낮음,명칭/주소/전화 동기화
17566660,"충남 홍성군 홍성추모공원 화장장",검색 안됨,명칭/주소/전화 동기화
17569715,"충남 홍성군 홍성추모공원 유택동산",검색 안됨,명칭/주소/전화 동기화
17578201,"충남 홍성군 홍성추모공원 기존화장장",검색 안됨,명칭/주소/전화 동기화
18848642,"성심장례식장",유사도 낮음,명칭/주소/전화 동기화
18950428,"전남 광양시 GSH광양서울병원 장례식장",검색 안됨,명칭/주소/전화 동기화
19469580,"전남 목포시 효성요양병원 장례식장",검색 안됨,명칭/주소/전화 동기화
19603697,"경북 성주군 성주효요양병원 장례식장",검색 안됨,명칭/주소/전화 동기화
19603737,"세종특별자치시 조치원읍 한마음효요양병원 장례식장",검색 안됨,명칭/주소/전화 동기화
19891274,"인천 강화군 막벨라강화추모공원",검색 안됨,명칭/주소/전화 동기화
20507820,"경북 영주시 영주자인병원 장례식장",검색 안됨,명칭/주소/전화 동기화
21208975,"경남 창원시 정다운요양병원 장례식장",검색 안됨,명칭/주소/전화 동기화
21275798,"충남 천안시 단국대학교의과대학부속병원 장례식장",검색 안됨,명칭/주소/전화 동기화
21302041,"전남 완도군 고금장례식장 본관",검색 안됨,명칭/주소/전화 동기화
21546125,"경상남도 밀양시 천불사 수목장",검색 안됨,명칭/주소/전화 동기화
22676989,"대구광역시 서구 대구연세요양병원장례식장",검색 안됨,명칭/주소/전화 동기화
22893404,"경기 광주시 수도권추모공원 분당납골당",검색 안됨,명칭/주소/전화 동기화
22959452,"강원특별자치도 춘천시 강촌수목장추모공원",검색 안됨,명칭/주소/전화 동기화
23151151,"충남 아산시 아산참요양병원 장례식장",검색 안됨,명칭/주소/전화 동기화
23356857,"경기도 안성시 영평사 봉안당",검색 안됨,명칭/주소/전화 동기화
23820737,"경기 파주시 서울시립장례식장",검색 안됨,명칭/주소/전화 동기화
