ID,Name,Type,Address,NormalizedName,Note
"7907211","부안효요양병원 장례식장","funeral","전북특별자치도 부안군 행안면 염소로 25","부안효요양병원","No exact match in 2023 data"
"1233228690","로고스장례식장","funeral","충남 천안시 동남구 청수로 123-11","로고스","No exact match in 2023 data"
"1607178921","남해추모누리공원 자연장지","natural","경상남도 남해군 서면 연죽로 46-77 (연죽리, 남해공설종합묘원추모누리)","남해추모누리공원자연장지","No exact match in 2023 data"
"1441772196","거제늘푸른수목장","natural","경남 거제시 사등면 지석로 216","거제늘푸른수목장","No exact match in 2023 data"
"1401689805","의정부연세장례식장","funeral","경기 의정부시 호국로 1342","의정부연세","No exact match in 2023 data"
"851590981","삼척추모공원 2단지 국가유공자보훈존","park","강원특별자치도 삼척시 강원남부로 4540","삼척추모공원2단지국가유공자보훈존","No exact match in 2023 data"
"11588210","한성병원 장례예식장","funeral","대구 북구 칠성남로30길 28","한성병원장례예식장","No exact match in 2023 data"
"836116024","자연숲추모공원 수목장림","park","전라남도 장성군 삼계면 영장로 900-53 (부성리)","자연숲추모공원수목장림","No exact match in 2023 data"
"609053243","강남요양병원 장례식장","funeral","대구 동구 동촌로 207","강남요양병원","No exact match in 2023 data"
"8001733","근로복지공단 안산병원 장례식장","funeral","경기 안산시 상록구 구룡로 87","근로복지공단안산병원","No exact match in 2023 data"
"226654375","초당요양병원 장례식장","funeral","전남 무안군 무안읍 성남1길 97-2","초당요양병원","No exact match in 2023 data"
"1258833590","경각산 수목장","natural","전북특별자치도 임실군 신덕면 불재로 622 (신덕리)","경각산수목장","No exact match in 2023 data"
"1960643171","선진요양병원 장례식장","funeral","대구 달서구 월배로 446","선진요양병원","No exact match in 2023 data"
"11956649","경기도의료원 수원병원 장례식장","funeral","경기 수원시 장안구 수성로245번길 69","경기도의료원수원병원","No exact match in 2023 data"
"26042652","경상남도립통영노인전문병원 장례식장","funeral","경남 통영시 도산면 남해안대로 1818","경상남도립통영노인전문병원","No exact match in 2023 data"
"27373054","신불산추모공원","park","경남 양산시 어실로 602-1","신불산추모공원","No exact match in 2023 data"
"7817465","경기도의료원 안성병원 장례식장","funeral","경기 안성시 남파로 95","경기도의료원안성병원","No exact match in 2023 data"
"2126239060","생극추모공원 신관","park","충북 음성군 생극면 일생로 497-27","생극추모공원신관","No exact match in 2023 data"
"9416381","임실중앙장례식장","funeral","전북특별자치도 임실군 임실읍 호국로 1767","임실중앙","No exact match in 2023 data"
"8452593","순천평화병원 장례식장","funeral","전남 순천시 양율길 180","순천평화병원","No exact match in 2023 data"
"20507820","영주자인병원 장례식장","funeral","경북 영주시 대동로31번길 9","영주자인병원","No exact match in 2023 data"
"354979639","용인수목장","natural","경기 용인시 처인구 양지면 남평로 311","용인수목장","No exact match in 2023 data"
"1113018015","무등장례식장","funeral","광주 북구 서양로 144","무등","No exact match in 2023 data"
"12406207","장림중앙장례식장","funeral","부산 사하구 장림번영로 59","장림중앙","No exact match in 2023 data"
"22506209","하늘소풍장례식장","funeral","경북 구미시 신시로10길 12","하늘소풍","No exact match in 2023 data"
"14651010","광양시립공원묘지 영세장","park","전남 광양시 광양읍 직동1길 300","광양시립공원묘지영세장","No exact match in 2023 data"
